"Municípios","UF","Número de Internações","População","Taxa a cada 100 mil hab."
"Turvânia (GO)","GO","0","2.287","0,0"
"Uirapuru (GO)","GO","0","1.407","0,0"
"Urutaí (GO)","GO","0","1.540","0,0"
"Vianópolis (GO)","GO","0","7.104","0,0"
"Vila Propício (GO)","GO","0","2.889","0,0"
"Afonso Cunha (MA)","MA","0","3.291","0,0"
"Altamira do Maranhão (MA)","MA","0","4.229","0,0"
"Araguanã (MA)","MA","0","7.855","0,0"
"Bacurituba (MA)","MA","0","2.848","0,0"
"Barão de Grajaú (MA)","MA","0","9.673","0,0"
"Belágua (MA)","MA","0","3.591","0,0"
"Benedito Leite (MA)","MA","0","2.692","0,0"
"Bernardo do Mearim (MA)","MA","0","3.131","0,0"
"Boa Vista do Gurupi (MA)","MA","0","4.175","0,0"
"Bom Jesus das Selvas (MA)","MA","0","16.785","0,0"
"Brejo de Areia (MA)","MA","0","4.293","0,0"
"Buriti (MA)","MA","0","14.417","0,0"
"Cajapió (MA)","MA","0","5.625","0,0"
"Carolina (MA)","MA","0","11.658","0,0"
"Cedral (MA)","MA","0","5.243","0,0"
"Central do Maranhão (MA)","MA","0","4.390","0,0"
"Colinas (MA)","MA","0","20.854","0,0"
"Conceição do Lago-Açu (MA)","MA","0","8.133","0,0"
"Cândido Mendes (MA)","MA","0","9.925","0,0"
"Duque Bacelar (MA)","MA","0","5.717","0,0"
"Esperantinópolis (MA)","MA","0","8.769","0,0"
"Fernando Falcão (MA)","MA","0","5.052","0,0"
"Formosa da Serra Negra (MA)","MA","0","9.322","0,0"
"Fortaleza dos Nogueiras (MA)","MA","0","6.104","0,0"
"Governador Luiz Rocha (MA)","MA","0","3.901","0,0"
"Governador Newton Bello (MA)","MA","0","5.072","0,0"
"Governador Nunes Freire (MA)","MA","0","12.905","0,0"
"Graça Aranha (MA)","MA","0","3.166","0,0"
"Igarapé do Meio (MA)","MA","0","7.289","0,0"
"Itaipava do Grajaú (MA)","MA","0","7.939","0,0"
"Jenipapo dos Vieiras (MA)","MA","0","8.498","0,0"
"Joselândia (MA)","MA","0","8.074","0,0"
"Junco do Maranhão (MA)","MA","0","2.164","0,0"
"Lago do Junco (MA)","MA","0","5.480","0,0"
"Lago Verde (MA)","MA","0","8.258","0,0"
"Lagoa do Mato (MA)","MA","0","5.558","0,0"
"Lajeado Novo (MA)","MA","0","3.680","0,0"
"Lima Campos (MA)","MA","0","6.188","0,0"
"Loreto (MA)","MA","0","5.966","0,0"
"Luís Domingues (MA)","MA","0","3.369","0,0"
"Magalhães de Almeida (MA)","MA","0","10.014","0,0"
"Marajá do Sena (MA)","MA","0","3.516","0,0"
"Maranhãozinho (MA)","MA","0","8.436","0,0"
"Milagres do Maranhão (MA)","MA","0","4.208","0,0"
"Mirador (MA)","MA","0","10.229","0,0"
"Miranda do Norte (MA)","MA","0","15.214","0,0"
"Montes Altos (MA)","MA","0","4.477","0,0"
"Monção (MA)","MA","0","16.802","0,0"
"Nina Rodrigues (MA)","MA","0","7.384","0,0"
"Nova Colinas (MA)","MA","0","2.639","0,0"
"Nova Iorque (MA)","MA","0","2.307","0,0"
"Olho d'Água das Cunhãs (MA)","MA","0","10.073","0,0"
"Olinda Nova do Maranhão (MA)","MA","0","7.448","0,0"
"Palmeirândia (MA)","MA","0","10.060","0,0"
"Passagem Franca (MA)","MA","0","9.828","0,0"
"Pedro do Rosário (MA)","MA","0","12.421","0,0"
"Porto Rico do Maranhão (MA)","MA","0","2.848","0,0"
"Poção de Pedras (MA)","MA","0","8.634","0,0"
"Presidente Médici (MA)","MA","0","3.460","0,0"
"Presidente Sarney (MA)","MA","0","9.405","0,0"
"Riachão (MA)","MA","0","9.986","0,0"
"Sambaíba (MA)","MA","0","2.677","0,0"
"Santa Filomena do Maranhão (MA)","MA","0","3.870","0,0"
"Santana do Maranhão (MA)","MA","0","6.755","0,0"
"Santo Amaro do Maranhão (MA)","MA","0","7.596","0,0"
"Satubinha (MA)","MA","0","6.973","0,0"
"Senador La Rocque (MA)","MA","0","7.181","0,0"
"Serrano do Maranhão (MA)","MA","0","4.941","0,0"
"São Benedito do Rio Preto (MA)","MA","0","9.294","0,0"
"São Bernardo (MA)","MA","0","14.676","0,0"
"São Domingos do Azeitão (MA)","MA","0","3.732","0,0"
"São Francisco do Brejão (MA)","MA","0","6.007","0,0"
"São Félix de Balsas (MA)","MA","0","2.192","0,0"
"São João Batista (MA)","MA","0","10.394","0,0"
"São João do Carú (MA)","MA","0","7.644","0,0"
"São João do Paraíso (MA)","MA","0","5.209","0,0"
"São Luís Gonzaga do Maranhão (MA)","MA","0","9.400","0,0"
"São Pedro dos Crentes (MA)","MA","0","2.265","0,0"
"São Raimundo das Mangabeiras (MA)","MA","0","9.380","0,0"
"São Raimundo do Doca Bezerra (MA)","MA","0","2.457","0,0"
"São Roberto (MA)","MA","0","3.327","0,0"
"Turilândia (MA)","MA","0","13.182","0,0"
"Água Doce do Maranhão (MA)","MA","0","6.218","0,0"
"Abadia dos Dourados (MG)","MG","0","3.495","0,0"
"Aguanil (MG)","MG","0","2.245","0,0"
"Alvarenga (MG)","MG","0","1.854","0,0"
"Alvorada de Minas (MG)","MG","0","1.840","0,0"
"Aracitaba (MG)","MG","0","1.010","0,0"
"Araponga (MG)","MG","0","4.088","0,0"
"Araporã (MG)","MG","0","3.475","0,0"
"Aricanduva (MG)","MG","0","2.630","0,0"
"Belo Vale (MG)","MG","0","3.875","0,0"
"Berizal (MG)","MG","0","2.401","0,0"
"Bias Fortes (MG)","MG","0","1.593","0,0"
"Bonfim (MG)","MG","0","3.459","0,0"
"Bonfinópolis de Minas (MG)","MG","0","2.683","0,0"
"Botumirim (MG)","MG","0","2.992","0,0"
"Braúnas (MG)","MG","0","2.427","0,0"
"Brás Pires (MG)","MG","0","2.128","0,0"
"Bugre (MG)","MG","0","1.915","0,0"
"Cabeceira Grande (MG)","MG","0","3.345","0,0"
"Camacho (MG)","MG","0","1.336","0,0"
"Campo Azul (MG)","MG","0","1.768","0,0"
"Cantagalo (MG)","MG","0","2.388","0,0"
"Canápolis (MG)","MG","0","5.699","0,0"
"Capela Nova (MG)","MG","0","2.391","0,0"
"Capetinga (MG)","MG","0","3.200","0,0"
"Caraí (MG)","MG","0","11.662","0,0"
"Carbonita (MG)","MG","0","4.604","0,0"
"Carmésia (MG)","MG","0","1.308","0,0"
"Carrancas (MG)","MG","0","1.998","0,0"
"Catas Altas (MG)","MG","0","2.796","0,0"
"Catas Altas da Noruega (MG)","MG","0","1.815","0,0"
"Chácara (MG)","MG","0","1.599","0,0"
"Claraval (MG)","MG","0","2.358","0,0"
"Comendador Gomes (MG)","MG","0","1.459","0,0"
"Conceição da Aparecida (MG)","MG","0","5.117","0,0"
"Congonhas do Norte (MG)","MG","0","2.482","0,0"
"Consolação (MG)","MG","0","859","0,0"
"Cordislândia (MG)","MG","0","1.720","0,0"
"Coronel Pacheco (MG)","MG","0","1.561","0,0"
"Cruzeiro da Fortaleza (MG)","MG","0","1.787","0,0"
"Cuparaque (MG)","MG","0","2.508","0,0"
"Córrego Danta (MG)","MG","0","1.491","0,0"
"Córrego Fundo (MG)","MG","0","3.077","0,0"
"Descoberto (MG)","MG","0","2.532","0,0"
"Desterro do Melo (MG)","MG","0","1.430","0,0"
"Divino das Laranjeiras (MG)","MG","0","2.449","0,0"
"Divinolândia de Minas (MG)","MG","0","3.822","0,0"
"Dom Bosco (MG)","MG","0","1.739","0,0"
"Dom Joaquim (MG)","MG","0","2.229","0,0"
"Dom Viçoso (MG)","MG","0","1.459","0,0"
"Dores do Turvo (MG)","MG","0","2.004","0,0"
"Doresópolis (MG)","MG","0","747","0,0"
"Douradoquara (MG)","MG","0","907","0,0"
"Espírito Santo do Dourado (MG)","MG","0","2.223","0,0"
"Estiva (MG)","MG","0","5.560","0,0"
"Estrela do Sul (MG)","MG","0","3.816","0,0"
"Ewbank da Câmara (MG)","MG","0","2.028","0,0"
"Faria Lemos (MG)","MG","0","1.589","0,0"
"Fortaleza de Minas (MG)","MG","0","2.211","0,0"
"Fortuna de Minas (MG)","MG","0","1.444","0,0"
"Francisco Dumont (MG)","MG","0","2.516","0,0"
"Franciscópolis (MG)","MG","0","2.597","0,0"
"Frei Lagonegro (MG)","MG","0","1.710","0,0"
"Fronteira dos Vales (MG)","MG","0","2.200","0,0"
"Funilândia (MG)","MG","0","2.243","0,0"
"Gameleiras (MG)","MG","0","2.481","0,0"
"Goiabeira (MG)","MG","0","1.754","0,0"
"Goianá (MG)","MG","0","1.960","0,0"
"Gonçalves (MG)","MG","0","2.142","0,0"
"Guidoval (MG)","MG","0","3.488","0,0"
"Heliodora (MG)","MG","0","3.244","0,0"
"Ibertioga (MG)","MG","0","2.500","0,0"
"Indianópolis (MG)","MG","0","3.389","0,0"
"Ipiaçu (MG)","MG","0","2.059","0,0"
"Iraí de Minas (MG)","MG","0","3.455","0,0"
"Itacambira (MG)","MG","0","2.498","0,0"
"Itambé do Mato Dentro (MG)","MG","0","986","0,0"
"Itumirim (MG)","MG","0","3.015","0,0"
"Jacuí (MG)","MG","0","3.740","0,0"
"Jaguaraçu (MG)","MG","0","1.554","0,0"
"Jeceaba (MG)","MG","0","2.399","0,0"
"Jequeri (MG)","MG","0","6.030","0,0"
"Jesuânia (MG)","MG","0","2.282","0,0"
"Josenópolis (MG)","MG","0","2.358","0,0"
"José Gonçalves de Minas (MG)","MG","0","2.158","0,0"
"Lagamar (MG)","MG","0","3.650","0,0"
"Lagoa dos Patos (MG)","MG","0","1.946","0,0"
"Laranjal (MG)","MG","0","3.419","0,0"
"Lassance (MG)","MG","0","3.215","0,0"
"Limeira do Oeste (MG)","MG","0","3.715","0,0"
"Luislândia (MG)","MG","0","3.263","0,0"
"Luminárias (MG)","MG","0","2.629","0,0"
"Marmelópolis (MG)","MG","0","1.346","0,0"
"Martins Soares (MG)","MG","0","4.251","0,0"
"Mata Verde (MG)","MG","0","4.066","0,0"
"Materlândia (MG)","MG","0","2.231","0,0"
"Mathias Lobato (MG)","MG","0","1.583","0,0"
"Matias Cardoso (MG)","MG","0","5.495","0,0"
"Matutina (MG)","MG","0","1.975","0,0"
"Montezuma (MG)","MG","0","4.060","0,0"
"Morro da Garça (MG)","MG","0","1.177","0,0"
"Morro do Pilar (MG)","MG","0","1.523","0,0"
"Naque (MG)","MG","0","3.482","0,0"
"Natalândia (MG)","MG","0","1.610","0,0"
"Ninheira (MG)","MG","0","5.064","0,0"
"Nova Belém (MG)","MG","0","1.559","0,0"
"Nova Ponte (MG)","MG","0","7.426","0,0"
"Novorizonte (MG)","MG","0","2.614","0,0"
"Olaria (MG)","MG","0","791","0,0"
"Olhos-d'Água (MG)","MG","0","2.991","0,0"
"Pai Pedro (MG)","MG","0","3.043","0,0"
"Paineiras (MG)","MG","0","2.207","0,0"
"Paiva (MG)","MG","0","778","0,0"
"Passabém (MG)","MG","0","826","0,0"
"Pedra Bonita (MG)","MG","0","3.425","0,0"
"Pedra do Indaiá (MG)","MG","0","1.957","0,0"
"Pedro Teixeira (MG)","MG","0","841","0,0"
"Pequi (MG)","MG","0","2.245","0,0"
"Perdigão (MG)","MG","0","5.812","0,0"
"Periquito (MG)","MG","0","3.403","0,0"
"Piau (MG)","MG","0","1.320","0,0"
"Piedade de Ponte Nova (MG)","MG","0","2.110","0,0"
"Piedade do Rio Grande (MG)","MG","0","2.242","0,0"
"Pirajuba (MG)","MG","0","2.744","0,0"
"Ponto Chique (MG)","MG","0","2.138","0,0"
"Pouso Alto (MG)","MG","0","2.924","0,0"
"Presidente Bernardes (MG)","MG","0","2.627","0,0"
"Presidente Kubitschek (MG)","MG","0","1.481","0,0"
"Quartel Geral (MG)","MG","0","1.744","0,0"
"Recreio (MG)","MG","0","5.365","0,0"
"Ribeirão Vermelho (MG)","MG","0","2.099","0,0"
"Rio do Prado (MG)","MG","0","2.494","0,0"
"Rio Doce (MG)","MG","0","1.286","0,0"
"Rio Manso (MG)","MG","0","2.820","0,0"
"Rochedo de Minas (MG)","MG","0","1.143","0,0"
"Romaria (MG)","MG","0","1.725","0,0"
"Rosário da Limeira (MG)","MG","0","2.267","0,0"
"Rubim (MG)","MG","0","4.949","0,0"
"Sabinópolis (MG)","MG","0","7.809","0,0"
"Santana do Garambéu (MG)","MG","0","1.183","0,0"
"Santana do Jacaré (MG)","MG","0","2.373","0,0"
"Santo Antônio do Retiro (MG)","MG","0","3.580","0,0"
"Santo Antônio do Rio Abaixo (MG)","MG","0","859","0,0"
"Santo Hipólito (MG)","MG","0","1.504","0,0"
"Sapucaí-Mirim (MG)","MG","0","3.457","0,0"
"Sem-Peixe (MG)","MG","0","1.291","0,0"
"Senador Amaral (MG)","MG","0","2.505","0,0"
"Senador José Bento (MG)","MG","0","676","0,0"
"Sericita (MG)","MG","0","3.574","0,0"
"Serra da Saudade (MG)","MG","0","356","0,0"
"Serra dos Aimorés (MG)","MG","0","4.289","0,0"
"Serranópolis de Minas (MG)","MG","0","2.374","0,0"
"São Geraldo da Piedade (MG)","MG","0","1.997","0,0"
"São Geraldo do Baixio (MG)","MG","0","2.002","0,0"
"São José da Safira (MG)","MG","0","2.173","0,0"
"São José do Alegre (MG)","MG","0","2.158","0,0"
"São João da Lagoa (MG)","MG","0","2.376","0,0"
"São João da Mata (MG)","MG","0","1.334","0,0"
"São Miguel do Anta (MG)","MG","0","3.423","0,0"
"São Pedro da União (MG)","MG","0","2.158","0,0"
"São Pedro do Suaçuí (MG)","MG","0","2.565","0,0"
"São Roque de Minas (MG)","MG","0","3.421","0,0"
"São Sebastião da Bela Vista (MG)","MG","0","2.678","0,0"
"São Sebastião do Maranhão (MG)","MG","0","4.913","0,0"
"São Sebastião do Rio Preto (MG)","MG","0","786","0,0"
"Taparuba (MG)","MG","0","1.501","0,0"
"Tapira (MG)","MG","0","2.257","0,0"
"Tapiraí (MG)","MG","0","865","0,0"
"Taquaraçu de Minas (MG)","MG","0","1.952","0,0"
"Tiradentes (MG)","MG","0","4.125","0,0"
"Tocos do Moji (MG)","MG","0","1.842","0,0"
"Turvolândia (MG)","MG","0","2.510","0,0"
"Umburatiba (MG)","MG","0","1.283","0,0"
"União de Minas (MG)","MG","0","1.913","0,0"
"Uruana de Minas (MG)","MG","0","1.668","0,0"
"Vargem Grande do Rio Pardo (MG)","MG","0","2.436","0,0"
"Verdelândia (MG)","MG","0","4.649","0,0"
"Veredinha (MG)","MG","0","2.737","0,0"
"Água Boa (MG)","MG","0","6.427","0,0"
"Anaurilândia (MS)","MS","0","4.523","0,0"
"Angélica (MS)","MS","0","5.346","0,0"
"Corguinho (MS)","MS","0","2.870","0,0"
"Inocência (MS)","MS","0","3.731","0,0"
"Jaraguari (MS)","MS","0","3.466","0,0"
"Nioaque (MS)","MS","0","6.689","0,0"
"Paraíso das Águas (MS)","MS","0","2.684","0,0"
"Pedro Gomes (MS)","MS","0","3.661","0,0"
"Rochedo (MS)","MS","0","2.544","0,0"
"Santa Rita do Pardo (MS)","MS","0","3.839","0,0"
"Sete Quedas (MS)","MS","0","5.304","0,0"
"Vicentina (MS)","MS","0","3.094","0,0"
"Água Clara (MS)","MS","0","7.912","0,0"
"Alto Boa Vista (MT)","MT","0","3.410","0,0"
"Araguaiana (MT)","MT","0","1.519","0,0"
"Araguainha (MT)","MT","0","441","0,0"
"Arenápolis (MT)","MT","0","4.667","0,0"
"Barão de Melgaço (MT)","MT","0","3.613","0,0"
"Bom Jesus do Araguaia (MT)","MT","0","3.163","0,0"
"Campos de Júlio (MT)","MT","0","3.680","0,0"
"Canabrava do Norte (MT)","MT","0","2.277","0,0"
"Carlinda (MT)","MT","0","4.853","0,0"
"Cocalinho (MT)","MT","0","2.678","0,0"
"Confresa (MT)","MT","0","15.585","0,0"
"Cotriguaçu (MT)","MT","0","10.081","0,0"
"Curvelândia (MT)","MT","0","2.626","0,0"
"Denise (MT)","MT","0","4.666","0,0"
"Gaúcha do Norte (MT)","MT","0","3.608","0,0"
"Glória D'Oeste (MT)","MT","0","1.528","0,0"
"Itanhangá (MT)","MT","0","3.483","0,0"
"Itaúba (MT)","MT","0","1.783","0,0"
"Jangada (MT)","MT","0","4.208","0,0"
"Juruena (MT)","MT","0","8.208","0,0"
"Lambari D'Oeste (MT)","MT","0","3.003","0,0"
"Luciara (MT)","MT","0","993","0,0"
"Nobres (MT)","MT","0","7.251","0,0"
"Nortelândia (MT)","MT","0","2.853","0,0"
"Nova Marilândia (MT)","MT","0","1.550","0,0"
"Nova Monte Verde (MT)","MT","0","4.381","0,0"
"Nova Nazaré (MT)","MT","0","1.924","0,0"
"Nova Santa Helena (MT)","MT","0","1.819","0,0"
"Nova Xavantina (MT)","MT","0","10.696","0,0"
"Novo Santo Antônio (MT)","MT","0","1.237","0,0"
"Planalto da Serra (MT)","MT","0","1.320","0,0"
"Ponte Branca (MT)","MT","0","744","0,0"
"Porto Alegre do Norte (MT)","MT","0","5.939","0,0"
"Porto Estrela (MT)","MT","0","1.355","0,0"
"Rondolândia (MT)","MT","0","1.994","0,0"
"Salto do Céu (MT)","MT","0","1.570","0,0"
"Santa Carmem (MT)","MT","0","2.232","0,0"
"Santa Cruz do Xingu (MT)","MT","0","1.327","0,0"
"Santa Rita do Trivelato (MT)","MT","0","1.682","0,0"
"Santa Terezinha (MT)","MT","0","3.902","0,0"
"Santo Afonso (MT)","MT","0","1.412","0,0"
"Serra Nova Dourada (MT)","MT","0","746","0,0"
"São José do Povo (MT)","MT","0","1.876","0,0"
"São José do Rio Claro (MT)","MT","0","9.694","0,0"
"São José do Xingu (MT)","MT","0","2.731","0,0"
"Tesouro (MT)","MT","0","1.563","0,0"
"Torixoréu (MT)","MT","0","1.705","0,0"
"União do Sul (MT)","MT","0","1.613","0,0"
"Vale de São Domingos (MT)","MT","0","1.447","0,0"
"Abel Figueiredo (PA)","PA","0","3.618","0,0"
"Almeirim (PA)","PA","0","16.527","0,0"
"Anajás (PA)","PA","0","14.412","0,0"
"Bannach (PA)","PA","0","1.527","0,0"
"Bom Jesus do Tocantins (PA)","PA","0","8.027","0,0"
"Brejo Grande do Araguaia (PA)","PA","0","3.499","0,0"
"Cachoeira do Piriá (PA)","PA","0","17.481","0,0"
"Curionópolis (PA)","PA","0","8.365","0,0"
"Curralinho (PA)","PA","0","16.833","0,0"
"Curuá (PA)","PA","0","7.157","0,0"
"Eldorado do Carajás (PA)","PA","0","16.146","0,0"
"Faro (PA)","PA","0","3.379","0,0"
"Goianésia do Pará (PA)","PA","0","20.313","0,0"
"Gurupá (PA)","PA","0","16.049","0,0"
"Ipixuna do Pará (PA)","PA","0","32.421","0,0"
"Itupiranga (PA)","PA","0","25.233","0,0"
"Melgaço (PA)","PA","0","13.007","0,0"
"Muaná (PA)","PA","0","19.852","0,0"
"Ourilândia do Norte (PA)","PA","0","16.002","0,0"
"Ourém (PA)","PA","0","8.814","0,0"
"Palestina do Pará (PA)","PA","0","3.743","0,0"
"Pau D'Arco (PA)","PA","0","2.607","0,0"
"Peixe-Boi (PA)","PA","0","4.023","0,0"
"Rio Maria (PA)","PA","0","8.796","0,0"
"Santa Luzia do Pará (PA)","PA","0","9.924","0,0"
"Santa Maria do Pará (PA)","PA","0","12.752","0,0"
"Santarém Novo (PA)","PA","0","3.327","0,0"
"Sapucaia (PA)","PA","0","2.708","0,0"
"São Domingos do Capim (PA)","PA","0","15.278","0,0"
"São Geraldo do Araguaia (PA)","PA","0","12.144","0,0"
"São João da Ponta (PA)","PA","0","3.117","0,0"
"São João do Araguaia (PA)","PA","0","6.243","0,0"
"São Sebastião da Boa Vista (PA)","PA","0","13.217","0,0"
"Tailândia (PA)","PA","0","54.654","0,0"
"Trairão (PA)","PA","0","8.798","0,0"
"Xinguara (PA)","PA","0","22.608","0,0"
"Água Azul do Norte (PA)","PA","0","12.850","0,0"
"Alagoinha (PB)","PB","0","7.439","0,0"
"Alcantil (PB)","PB","0","2.746","0,0"
"Amparo (PB)","PB","0","1.148","0,0"
"Areia de Baraúnas (PB)","PB","0","1.038","0,0"
"Baía da Traição (PB)","PB","0","4.607","0,0"
"Belém do Brejo do Cruz (PB)","PB","0","3.650","0,0"
"Bernardino Batista (PB)","PB","0","1.819","0,0"
"Bom Jesus (PB)","PB","0","1.313","0,0"
"Bom Sucesso (PB)","PB","0","2.502","0,0"
"Brejo do Cruz (PB)","PB","0","7.281","0,0"
"Cacimba de Areia (PB)","PB","0","1.873","0,0"
"Cajazeirinhas (PB)","PB","0","1.558","0,0"
"Capim (PB)","PB","0","3.418","0,0"
"Carrapateira (PB)","PB","0","1.266","0,0"
"Congo (PB)","PB","0","2.403","0,0"
"Cuitegi (PB)","PB","0","3.466","0,0"
"Curral de Cima (PB)","PB","0","2.581","0,0"
"Curral Velho (PB)","PB","0","1.224","0,0"
"Diamante (PB)","PB","0","3.207","0,0"
"Duas Estradas (PB)","PB","0","1.783","0,0"
"Gurinhém (PB)","PB","0","7.094","0,0"
"Jericó (PB)","PB","0","3.962","0,0"
"Joca Claudino (PB)","PB","0","1.379","0,0"
"Juarez Távora (PB)","PB","0","4.068","0,0"
"Lastro (PB)","PB","0","1.340","0,0"
"Malta (PB)","PB","0","2.994","0,0"
"Marcação (PB)","PB","0","4.315","0,0"
"Massaranduba (PB)","PB","0","7.226","0,0"
"Matinhas (PB)","PB","0","2.308","0,0"
"Mogeiro (PB)","PB","0","6.868","0,0"
"Monte Horebe (PB)","PB","0","2.430","0,0"
"Mãe d'Água (PB)","PB","0","2.015","0,0"
"Nazarezinho (PB)","PB","0","3.668","0,0"
"Nova Olinda (PB)","PB","0","2.946","0,0"
"Ouro Velho (PB)","PB","0","1.513","0,0"
"Parari (PB)","PB","0","859","0,0"
"Pedro Régis (PB)","PB","0","3.087","0,0"
"Poço Dantas (PB)","PB","0","1.921","0,0"
"Riachão do Poço (PB)","PB","0","2.260","0,0"
"Salgadinho (PB)","PB","0","1.939","0,0"
"Santa Cecília (PB)","PB","0","3.214","0,0"
"Santa Cruz (PB)","PB","0","3.225","0,0"
"Santa Inês (PB)","PB","0","1.731","0,0"
"Santana de Mangueira (PB)","PB","0","2.535","0,0"
"Serra da Raiz (PB)","PB","0","1.555","0,0"
"Serra Grande (PB)","PB","0","1.446","0,0"
"Serraria (PB)","PB","0","3.039","0,0"
"Sobrado (PB)","PB","0","4.002","0,0"
"Sossêgo (PB)","PB","0","1.829","0,0"
"São Domingos (PB)","PB","0","1.570","0,0"
"São Domingos do Cariri (PB)","PB","0","1.327","0,0"
"São Francisco (PB)","PB","0","1.741","0,0"
"São José da Lagoa Tapada (PB)","PB","0","3.908","0,0"
"São José de Caiana (PB)","PB","0","3.078","0,0"
"São José de Princesa (PB)","PB","0","1.923","0,0"
"São José do Brejo do Cruz (PB)","PB","0","904","0,0"
"São José do Sabugi (PB)","PB","0","2.057","0,0"
"São José dos Cordeiros (PB)","PB","0","1.831","0,0"
"São João do Tigre (PB)","PB","0","2.121","0,0"
"Tavares (PB)","PB","0","7.335","0,0"
"Tenório (PB)","PB","0","1.489","0,0"
"Uiraúna (PB)","PB","0","7.922","0,0"
"Vieirópolis (PB)","PB","0","2.689","0,0"
"Vista Serrana (PB)","PB","0","1.846","0,0"
"Várzea (PB)","PB","0","1.429","0,0"
"Zabelê (PB)","PB","0","1.146","0,0"
"Belém de Maria (PE)","PE","0","6.223","0,0"
"Brejão (PE)","PE","0","4.600","0,0"
"Calumbi (PE)","PE","0","2.997","0,0"
"Iati (PE)","PE","0","9.660","0,0"
"Ibirajuba (PE)","PE","0","3.866","0,0"
"Inajá (PE)","PE","0","11.778","0,0"
"Itacuruba (PE)","PE","0","2.519","0,0"
"Itaíba (PE)","PE","0","13.213","0,0"
"Palmeirina (PE)","PE","0","3.806","0,0"
"Saloá (PE)","PE","0","8.277","0,0"
"Santa Cruz da Baixa Verde (PE)","PE","0","6.377","0,0"
"São Benedito do Sul (PE)","PE","0","7.962","0,0"
"Alvorada do Gurguéia (PI)","PI","0","2.650","0,0"
"Angical do Piauí (PI)","PI","0","3.584","0,0"
"Antônio Almeida (PI)","PI","0","1.535","0,0"
"Aroazes (PI)","PI","0","2.990","0,0"
"Aroeiras do Itaim (PI)","PI","0","1.243","0,0"
"Arraial (PI)","PI","0","2.448","0,0"
"Assunção do Piauí (PI)","PI","0","3.920","0,0"
"Baixa Grande do Ribeiro (PI)","PI","0","5.636","0,0"
"Barreiras do Piauí (PI)","PI","0","1.598","0,0"
"Bela Vista do Piauí (PI)","PI","0","2.007","0,0"
"Bom Princípio do Piauí (PI)","PI","0","2.768","0,0"
"Bonfim do Piauí (PI)","PI","0","2.934","0,0"
"Brasileira (PI)","PI","0","4.113","0,0"
"Brejo do Piauí (PI)","PI","0","1.881","0,0"
"Cabeceiras do Piauí (PI)","PI","0","5.319","0,0"
"Cajazeiras do Piauí (PI)","PI","0","1.797","0,0"
"Campo Alegre do Fidalgo (PI)","PI","0","2.514","0,0"
"Campo Largo do Piauí (PI)","PI","0","3.651","0,0"
"Canavieira (PI)","PI","0","1.942","0,0"
"Capitão Gervásio Oliveira (PI)","PI","0","2.013","0,0"
"Caraúbas do Piauí (PI)","PI","0","2.951","0,0"
"Caridade do Piauí (PI)","PI","0","2.472","0,0"
"Cristalândia do Piauí (PI)","PI","0","4.061","0,0"
"Cristino Castro (PI)","PI","0","5.209","0,0"
"Curimatá (PI)","PI","0","5.757","0,0"
"Currais (PI)","PI","0","2.352","0,0"
"Curral Novo do Piauí (PI)","PI","0","2.621","0,0"
"Curralinhos (PI)","PI","0","2.266","0,0"
"Dom Expedito Lopes (PI)","PI","0","3.529","0,0"
"Flores do Piauí (PI)","PI","0","2.220","0,0"
"Francisco Macedo (PI)","PI","0","1.634","0,0"
"Francisco Santos (PI)","PI","0","4.671","0,0"
"Fronteiras (PI)","PI","0","6.041","0,0"
"Guaribas (PI)","PI","0","2.282","0,0"
